"key_word","tigrigna","amharic","english"
"Deny_All","ኩሎም ይከልከሉ","ሁሉንም ከልክል","Deny All"
"Crud_Resources","መረዳእታታት/ንብረታት","መረጃዎች","Crud Resources"
"Action_Resources","ተግባራት","ክንውኖች/ስራዎች","Action Resources"
"Allow_All","ኩሎም ፍቐድ","ሁሉንም ይፈቀዱ","Allow All"
"P_O_B","ፖስታ ሳንዱቕ ቁፅሪ","የፖስታ ሳንዱቕ ቀጥር","Post Office Box"
"Language_Strings_File","ሓረጋት ቋንቋ ዝሓዘ መዝገብ","የቋንቋ ሃረጋት የያዘው ፋይል","Language Strings File"
"Search","ኣልሽ","ፈልግ","Search"
"Search_by_Document_Number","ብመዝገብ ቁፅሪ አልሽ","በመዝገብ ቁጥር ፈልግ","Search by Document Number"
"Comment","ርኢቶ","መግለጫ","Comment"
"Language","ቛንቋ","ቋንቋ","Language"
"System_Configuration","ሲስተም መዐረይታት","ሲስተም ማስተካክያዎች","System Configuration"
"Old","ዝነበረ","የነበረ","Old"
"New","ሓድሽ","ኣዲስ","New"
"Services","ግልጋሎት","ኣገልግሎት","Services"
"Reports","ፀብፃብ","ሪፖርት","Reports"
"Settings","መስተኻከሊ","ማስተካከያ","Settings"
"Update_System_Settings","ቁልፊታት መተግበሪ ኣስተኻኽል","የመተግበሪያ መቼት ኣስተካክል","Update System Settings"
"Report_Interval_In_Months","ፀብፃብ ዝወፀሎም ኣዋርሕ በዝሒ","በሪፖርት የሚካተቱ ወራት ብዛት","Report Interval In Months"
"Report_Generation_Date","ፀብፃብ ዝወፀሉ ዕለት","ሪፖርት የሚዘጋጅበት ቀን","Report Generation Date"
"Allow_Destroy","ምስራዝ","ማጥፋት","Allow Delete"
"Allow_Show","ዕሙቕ መረዳእታ ምርኣይ","ጥልቅ መረጃ ማየት","Allow Show"
"Pagination_Size","በዝሒ መስመር ኣብ ሓደ ገፅ","የመስመር ብዛት በኣንድ ገጽ","Pagination Size"
"Allow_Store","ሓድሽ ምምዝጋብ","ኣዲስ መመዝገብ","Allow Create"
"Allow_Update","ምስትኽኻል","ማስተካከል","Allow Update"
"Allow_Index","ዝርዝር/ጠቋሚ ምርኣይ","ዝርዝር/ማውጫ ማየት","Index"
"Resource_Name","ዓይነት መረዳእታ መተግበሪ","መተግበሪያ መረጃ ኣይነት","Resource Name"
"Uncheck_All","ኩሎም ይከልከሉ","ሁሉንም ክልክል ይሁኑ","Uncheck All"
"Assign_Role_Permissions","ፍቓዳት ደረጃ ሓላፍነት መውሃቢ","የሃላፊነት ደረጃ ፈቃድ መስጫ","Assign Role Permissions"
"Permissions_Will_Be_Saved_Automatically","ፍቓዳት ብቀጥታ ክምዝገቡ እዮም","ፈቃድ በቀጥታ ይቀመጣሉ","Permissions Will Be Saved Automatically"
"History","ከይዲ","ሂደት","History"
"Deactivation_Date","ዝተቋረፀሉ ዕለት","የተቋረጠበት ቀን","Deactivation Date"
"Logged_User","ተጠቃሚ","ተጠቃሚ","Logged User"
"Remark","መብርሂ","ማብራሪያ","Remark"
"Name","ሽም","ስም","Name"
"Category","ምድብ","ክፍል","Category"
"Update","መዝገብ ኣሐድስ","መዝገብ ኣሳድስ","Update"
"Confirm_Delete","ንክስረዝ የረጋግፁ","ለማጥፋት ያረጋግጡ","Confirm Delete"
"Save","ኣብ መዝገብ ኣቐምጥ","በመዝገብ ኣስቀምጥ","Save"
"Edit","ኣስተኻኻል","ኣስተካክል","Edit"
"Delete","ሰርዝ","ኣጥፋ","Delete"
"Duplicate_Entry","ተመዝጊቡ ፀኒሑ","ተመዝግቦ ነበር","Duplicate Entry"
"Add","ወስኽ","ጨምር","Add"
"Create","ፍጠር","ፍጠር","Create"
"List_Not_Found","ዝተመዝገቡ ዝርዝራት የለውን","የተመዘገቡ ዝርዝሮች የሉም","List Not Found"
"View","ብዕምቆት ተመልከት","በጥልቀት ተመልከት","View Details"
"Actions","ተግባራት","የርምጃ ኣዝራር","Actions"
"Tigrigna","ትግርኛ","ትግርኛ","Tigrigna"
"Select_Language","ቋንቋ ምረፅ","ቋንቋ ይምረጡ","Select Language"
"English","እንግሊዘኛ","እንግሊዘኛ","English"
"Amharic","ኣምሓርኛ","ኣማርኛ","Amharic"
"Create_New_String","ሓድሽ ሓረግ መዝግብ","ኣዲስ ሀረግ መዝግብ","Create New String"
"Keyword_Already_Taken","ሓረግ ተመዝጊቡ ፀኒሑ","ሀረግ ተመዝግቦ ነበር","Keyword Already Taken"
"Operation_Successful","ስራሕ ብትክክል ተፈፂሙ","ስራው በትክክል ተሰርተዋል","Operation Successful"
"Dashboard","ዳሽቦርድ","ዳሽቦርድ","Dashboard"
"Control_Panel","መቆፃፅሪ ፓናል","መቆጣጠሪያ ፓነል","Control Panel"
"Operation_Failed","ስራሕ ብትክክል ኣይተፈፀመን","ስራው በትክክል ኣልተሰራም","Operation Failed"
"List","ዝርዝር","ዝርዝር","List"
"Edit_Language_Strings","ሓረጋት ቋንቋ ኣስተኻኽል","የቋንቋ ሃረጋት ኣስተካክል","Edit Language Strings"
"Back","ተመለስ","ተመለስ","Back"
"Page_Not_Found","ገፅ መረዳእታ ኣይተረኸበን","የመርጃ ገፅ ኣልተገኘም","Page Not Found"
"Created_By","ዝመዝገቦ ተጠቃሚ","የመዘገበው ተጠቃሚ","Created By"
"Detail","ዕሙቕ መረዳእታ","ሰፊ መረጃ","Detail"
"Created_At","ዝተመዝገበሉ ዕለት","የተመዘገበበት ቀን","Created At"
"Updated_By","ዘስተኻኸሎ ተጠቃሚ","ያስተካከለው ተጠቃሚ","Updated By"
"Registration","መመዝገቢ","መመዝገቢያ","Registration"
"Updated_At","ዝተሓደሰሉ ዕለት","የታደሰበት ቀን","Updated At"
"App_Name","E-DMS","E-DMS","E-DMS"
"No","ኣይ! ተመለስ","ኣይ! ተመለስ","No"
"Yes","እወ","ኣዎን","Yes"
"System_Settings","ቁልፍታት መተግበሪያ","የመተግበሪያ መቼት","System Settings"
"Create_New_Accusal_Category","ሓድሽ ዓይነት ክሲ መዝግብ","ኣዲስ የክስ ኣይነት መዝግብ","Create New Accusal Category"
"Log_Out","ካብ መተግበሪ ውፃእ","ከመተግበርያ ውጣ","Log Out"
"Profile","መንነት ተጠቃሚ","የተጠቃሚ ማንነት","Profile"
"User_Interface","ኢንተርፌስ መተግበሪ","የመተግበሪያ ኢንተርፌስ","User Interface"
"Permissions","ፍቓዳት መውሃቢ","ፈቃድ ስጥ/ከልክል","Permissions"
"Admin","ዋና ኣማሓዳሪ","ከፍተኛ ኣስተዳደር","Admin"
"Log_In","ይእተው","ይግቡ","Log In"
"Profile_Settings","ቁልፊ መንነት ተጠቃሚ","የማንነት ተጠቃሚ መቼት","Profile Settings"
"Intro","እንቋዕ ብደሓን መፃእኹም","እንኳን ደህና መጡ","Welcome"
"Forgot_Password","መሕለፊ ቃል ተረሲዑ ድዩ?","የይለፍ ቃል ጠፋቦት?","Forgot Password?"
"User_Name","መለለይ ተጠቃሚ","የተጠቃሚ መለያ","User Name"
"Create_New_Region","ሓድሽ ክልል መዝግብ","ኣዲስ ክልል ይመዝግቡ","Create New Region"
"Password","መሕለፊ ቃል","የይለፍ ቃል","Password"
"Regions","ክልላት","ክልሎች","Regions"
"Region","ክልል","ክልል","Region"
"Create_New_Zone","ሓድሽ ዞባ መዝግብ","ኣዲስ ዞን ይመዝግቡ","Create New Zone"
"Country","ሃገር","ሀገር","Country"
"Invalid_Format","ዝተሰሓሓተ ፎርማት","የተሳሳተ ፎርማት","Invalid Format"
"Wereda","ወረዳ","ወረዳ","Wereda"
"Weredas","ወረዳታት","ወረዳዎች","Weredas"
"Zone","ዞባ","ዞን","Zone"
"Zones","ዞባታት","ዞባዎች","Zones"
"Create_New_Wereda","ሓድሽ ወረዳ መዝግብ","ኣዲስ ወረዳ ይመዝግቡ","Create New Wereda"
"Download","ኣውርድ","ኣውርድ","Download"
"Create_New_Tabya","ሓድሽ ጣብያ መዝግብ","ኣዲስ ጣብያ ይመዝግቡ","Create New Tabya"
"Export_To_Excel","ናብ Excel ቀይር","ወደ Excel ይቀየር","Export To Excel/CSV"
"Upload_Logo_Image","ናይ ትካል ኣርማ","የድርጅት ኣርማ","Upload Logo Image"
"Company_Name","ሽም ትካል","የድርጅት ስም","Company Name"
"Tabya","ጣብያ/ቀበሌ","ጣብያ/ቀበሌ","Tabya/Kebelle"
"Create_New_Kebelle","ሓድሽ ቀበሌ መዝግብ","ኣዲስ ቀበሌ ይመዝግቡ","Create New Kebelle"
"Kebelle","ቁሸት/ቀጠና","ቁሸት/ቀጠና","Kushet"
"Tabyas","ጣብያታት/ቀበሌታት","ጣብያዎች/ቀበሌዎች","Tabyas/Kebelles"
"Kebelles","ቁሸታት/ቀጠናታት","ቁሸቶች/ቀጠናዎች","Kushets/Ketenas"
"Create_New_Department","ሓድሽ ዓይነት ውሳነ መዝግብ","ኣዲስ የውሳኔ  ኣይነት ይመዝግቡ","Create New Department"
"Document_Status","ኩነታት መዝገብ","የፋይል ሁኔታ","Document Status"
"Departments","መደባት ስራሕ","የስራ መደቦች","Departments"
"Create_New_Document_Statuses","ኩነታት መዝገብ","የፋይል ሁኔታዎች","Create New Document Statuses"
"Department","መደብ ስራሕ","የስራ ምድብ","Department"
"Document_Statuses","ኩነታት መዛግብቲ","የፋይል ሁኔታዎች","Document Statuses"
"Document_Type","document type","document type","document type"
"Create_New_Document_Status","ሓድሽ ኩነታት መዝገብ መዝግብ","ኣዲስ የፋይል ሁኔታ ይመዝግቡ","Create New Document Status"
"End_Date","ዝወፀሉ ዕለት","የወጣበት ቀን","End Date"
"Entry_Date","ዝኣተወሉ ዕለት","የገባበት ቀን","Entry Date"
"Full_Name","ሙሉእ ሽም","ሙሉ ስም","Full Name"
"Phone_Number","ቁፅሪ ስልኪ","ስልክ ቁጥር","Phone Number"
"Address","ኣድራሻ","ኣድራሻ","Address"
"Gender","ፆታ","ፆታ","Gender"
"Age","ዕድመ","እድሜ","Age"
"Language_Strings","ሓረጋት ቋንቋ","የቋንቋ ሃረጋት","Language Strings"
"Documents","ዝርዝር ሰነዳት","የሰነዶች ዝርዝር","Documents List"
"Document","ሰነድ","ሰነድ","Document"
"Female","ኣነ","ሴት","Female"
"Next","ናብ ዝቕፅል ሕለፍ","ወደ ቀጣይ ሂድ","Next"
"Male","ተባ","ወንድ","Male"
"Adminstrative_Level","ብርኪ ሓላፍነት","የሃላፊነት ደረጃ","Adminstrative Level"
"Create_New_Country","ሓድሽ ሃገር መዝግብ","ኣዲስ ኣገር ይመዝግቡ","Create New Country"
"Countries","ሃገራት","ኣገሮች","Countries"
"Religion","ሃይማኖት","ሃይማኖት","Religion"
"Religions","ሃይማኖታት","ሃይማኖቶች","Religions"
"Nationalities","ዜግነታት","ዜግነቶች","Nationalities"
"Nationality","ዜግነት","ዜግነት","Nationality"
"Create_New_Nationality","ሓድሽ ዜግነት መዝግብ","ኣዲስ ዜግነት ይመዝግቡ","Create New Nationality"
"Users","ዝርዝር ተጠቀምቲ","የተጠቃሚዎች ዝርዝር","Users List"
"User","ተጠቃሚ","ተጠቃሚ","User"
"Create_New_User","ሓድሽ ተጠቃሚ መዝግብ","ኣዲስ ተጠቃሚ ይመዝግቡ","Create New User"
"Check_All","ኩሎም ምረፅ","ሁሉንም ይምረጡ","Check All"
"Amount_Of_Money","መጠን ገንዘብ","የብር መጠን","Amount Of Money"
"Role","ዓይነት ሓላፍነት","የሃላፊነት ኣይነት","Role"
"Optional","ናይ ግድን ኣይኮነን","ግዴታ ኣደለም","Optional"
"Email","ኢሜይል","ኢሜይል","Email"
"Status","ኩነታት","ሁኔታ","Status"
"Activate","ኣንጥፍ","ኣንቀሳቅስ","Activate"
"Deactivate","ኣዛሕትል","ኣቦዝን","Deactivate"
"Date","ዕለት","ቀን","Date"
"Day","መዓልቲ","ቀን","Day"
"Year","ዓመት","ኣመት","Year"
"Month","ወርሒ","ወር","Month"
"Other","ካልእ","ሌላ","Other"
"Both","ክልቲኦም","ሁለቱንም","Both"
"Allowed","ተፈቂዱ","ተፈቅደዋል","Allowed"
"Not_Allowed","ኣይተፈቐደን","ኣልተፈቀደም","Not Allowed"
"Amount","መጠን","መጠን","Amount"
"Level","ብርኪ","ብርኪ","Level"
"Sum","ድምር","ድምር","Sum"
"Quantity","በዝሒ","ብዛት","Quantity"
"Child","ህፃን","ህፃን","Child"
"Activation","ብምንቅስቃስ","በእንቅስቃሴ","Activation"
"Quality","ፅሬት","ጥራት","Quality"
"Person","ሰብ","ሰው","Person"
"Report","ፀብፃብ","ሪፖርት","Report"
"Money","ገንዘብ","ገንዘብ","Money"
"Restriction","ገደብ","አገዳ","Restriction"
"Key_Word","መፍለይ ቃል","መለያ ቃል","Key Word"
"In_Birr","ብብር","በብር","In Birr"
"In_M2","ብካሬ","ብካሬ","In M2"
"Agreement","ስምምዕ","ስምምነት","Agreement"
"Agent_Type","ዓይነት ወኪል","የወኪል ኣይነት","Agent Type"
"Agent","ወኪል","ወኪል","Agent"
"Remember","ምዝክካር","ማስታወስ/መጎብኘት","Remember"
"Security","ድሕንነት","ድህንነት","Security"
"Rounded","ዝዞረ","የዞረ","Rounded"
"Response","መልሲ","መልስ","Response"
"Individual","ውልቀ ሰብ","ግለ ሰብ","Individual"
"Allow_Action","ተግባር/ስራሕ መፍቀዲ","ተግባር/ክንውን መፍቀጃ","Allow Action"
"Applicants","ኣመልከትቲ","ኣመልካቲ","Applicants"
"Applicant","ኣመልካቲ","ኣመልከትቲ","Applicant"
"All_Rights_Reserved","ናይ ቅዳሕ መሰል ብሕጊ ዝተሓለወ እዩ","የቅጂ መብቱ በህግ የተጠበቀ ነው","All rights reserved."
"Developed_by_Pilasa_Technologies","ብፒላሳ ቴክኖሎጂስ ዝተሰርሐ","በፒላሳ ቴክኖኖጂስ የተሰራ","Developed by Pilasa Technologies"
"Service_Type","ዓይነት ግልጋሎት","የኣገልግሎት ዓይነት","Service Type"
"September","መስከረም","መስከረም","September"
"October","ጥቅምቲ","ጥቅምት","October"
"November","ሕዳር","ህዳር","November"
"December","ታሕሳስ","ታህሳስ","December"
"January","ጥሪ","ጥር","January"
"February","ለካቲት","የካቲት","February"
"March","መጋቢት","መጋቢት","March"
"April","ሜያዚያ","ሚያዝያ","April"
"May","ጉንበት","ጉንበት","May"
"June","ሰነ","ሰኔ","June"
"July","ሓምለ","ሐምሌ","July"
"August","ነሓሰ","ነሐሴ","August"
"House","ገዛ","ቤት","House"
"Land","መሬት","መሬት","Land"
"Property","ንብረት","ንብረት","Property"
"Not_Avaliable","ኣብ ዘየለሉ","ብሌለበት","Not Avaliable"
"Fax","ፋክስ","ፋክስ","Fax"
"Request_Number","ቁፅሪ ጥርዓን","የኣቤቱታ ቁጥር","Request Number"
"Requested_To","ናብ","ወድ","Requested To"
"Responded_By","ምላሽ ዝሃበ ኣካል","መልስ የሰጠ ኣካል","Responded By"
"Response_Type","ዓይነት ምላሽ","የምላሽ ኣይነት","Response Type"
"In_Progress","ኣብ ከይዲ ዘሎ","በሂደት ላይ ያለው","In Progress"
"Remembering","ምዝክካር ቃል","የቃል ማስታወስ","Remembering"
"From_Date","ካብ ዕለት","ከቀን","From Date"
"To_Date","ክሳብ ዕለት","እስከ ቀን","To Date"
"Generate_Report","ፀብፃብ ኣውፅእ","ሪፖርት ይመልከቱ","Generate Report"
"Not_Solved","ዘይተፈትሐ","ያልተፈታ","Not Solved"
"Solved","ዝተፈትሐ","የተፈታ","Solved"
"Hour","ሰዓት","ሰኣት","Hour"
"Minute","ደቒቓ","ደቂቃ","Minute"
"Roles","ዓይነታት ሓላፍነት","የሃላፊነት ኣይነት","Roles"
"Middle_Name","ሽም ኣባሓጎ","የኣያት ስም","Middle Name"
"Last_Name","ሽም ኣቦ","የኣባት ስም","Last Name"
"First_Name","ሽም","ስም","First Name"
"Video","ተንቃሳቃሲ ምስሊ","ተንቀሳቃሽ ምስል","Video"
"Audio","ድምፂ","ድምፅ","Audio"
"Image","ምስሊ","ምስል","Image"
"Text_Document","ካልእ ፅሑፍ","ሌላ ጽሁፍ","Text Document"
"Title","ርእሲ","ርእስ","Title"
"Upload_New_Document","ሓድሽ ሰነድ ስቐል","ኣዲስ ሰነድ ይስቀሉ","Upload New Document"
"Select_File","ሰነድ ይምረፁ","ሰነድ ይምረጡ","Select File"
"Document_Information","መረዳእታ ሰነድ","የሰነድ መረጃ","Document Information"
"Author_Information","መረዳእታ ኣፍላቒ","የኣመንጪ መረጃ","Author Information"
"Editions_Information","መረዳእታ ሕታም","የእትም መረጃ","Editions Information"
"Edition","ሕታም","እትም","Edition"
"Publisher_Information","መረዳእታ ኣሐታሚ","የኣሳታሚ መረጃ","Publisher Information"
"Year_of_Establishment","ዝተመስረተሉ ዓመት","የተመሰረተለት ዓመት","Year of Establishment"
"Year_of_Publishment","ዝተሓተመሉ ዓመት","የታተመበት ኣመት","Year of Publishment"
"Uploaded_at","ዝተሰቐለሉ ዕለት","የተሰቀለበት ቀን","Uploaded at"
"Set_Document_Permissions","ፍቓዳት ሰነድ ኣዳልው","የሰነድ ፍቃዶች ይወስኑ","Set Document Permissions"
"Description","መብርሂ","ማብራሪያ","Description"
"Allow_Download","ንከውርድ ፍቐድ","ማውረድ ፍቀድለት","Allow Download"
"Access_Permissions","ናይ ተጠቀምቲ ፍቓዳት","የተጠቃሚዎች ፍቃድ","Access Permissions"
"Sign_Out","ካብ መተግበሪ ወፃእ","ከመተግበሪያ ወጣ","Sign Out"
"New_Users","ሓደሽቲ ተጠቀምቲ","ኣዲስ ተጠቃሚዎች","New Users"
"New_Documents","ሓደሽቲ ሰነዳት","ኣዲስ ሰነዶች","New Documents"
"Uploaded_Date","ዝተሰቐለሉ ዕለት","የተሰቀለበት ቀን","Uploaded Date"
"Sign_In","ይእተው","ይግቡ","Sign In"
"Have_not_you_an_account","ዝጥቀምሉ ሒሳብ የብሎምን?","የሚጠቀሙለት ሒሳብ የሎትም?","Have't you an account?"
"Sign_Up","ይመዝገቡ","ይመዝገቡ","Sign Up"
"Register","ይመዝገቡ","ይመዝገቡ","Register"
"Approve","ኣፅድቕ","ተቀበል","Approve"
"Reject","ንፀግ","ኣትቀበል","Reject"
"User_Activities","ስራሕቲ ተጠቃሚ","የተጠቃሚ እንቅስቃሴ","User Activities"
"Approvals","መረጋገፂታት","ማረጋገጫዎች","Approvals"
"Views","ዝተርኣዮ በዝሒ","የእይታ ብዛት","Views"
"Share","ኣካፍል","ኣዳርስ","Share"
"Receipents","ተቐበልቲ","ተቀባዮች","Receipents"
"Shares","በዝሒ ዝተባፀሖ","የተዳረሰው ብዛት","Shares"
"Shared_By","ዘባፀሖ ተጠቃሚ","ያዳረሰው ተጠቃሚ","Shared By"
"Shared_To","ዝተባፅሐሉ ተጠቃሚ","የተዳረሰበት ተጠቃሚ","Shared To"
"View/Play","ተመልከት","ተመልክት","View/Play"
"Finish","ወድእ","ይጨርሱ","Finish"
"Subject","ርእሲ","ርእስ","Subject"
"Message_Body","ትሕዝቶ መልእኽቲ","የመልእክቱ ይዘት","Message Body"
"Create_New_Message","ሓድሽ መልእኽቲ ፀሓፍ","ኣዲስ መልእክት ጻፍ","Create New Message"
"View_Messages","መልእኽትቲታት ተመልከት","መልእክቶችን ተመልከት","View Messages"
"Sender","ለኣኺ","ላኪ","Sender"
"Rejected_Documents","ዝተነፀጉ ሰነዳት","ተቀባይነት ያላገኙ ሰነዶች","Rejected Documents"
"Rejected_Users","ዝተነፀጉ ተጠቀምቲ","ተቀባይነት ያላገኙ ተጠቃሚዎች","Rejected Users"
"Welcome","እንቋዕ ብደሓን መፁ","እንኳን ደህና መጡ","Welcome"
"Logs","መዘኻኸሪታት","ማስታወሻዎች","Logs"
"Messages","መልእኽትቲታት","መልእክቶች","Messages"
"Inbox","ዝኣተዉ መልእኽቲታት","የገቡ መልእክቶች","Inbox"
"Outbox","ዝወፁ መልእኽትታት","የወጡ መልእክቶች","Outbox"
"Videos","ተንቃሳቃሲ ምስልታት","ተንቀሳቃሽ ምስሎች","Videos"
"Audios","ድምፂታት","ድምፆች","Audios"
"Images","ምስልታት","ምስሎች","Images"
"Text_Documents","ፅሑፋት","ፅሑፎች","Text Documents"
"Clear_Logs","መዘኻኸሪታት ኣጥፍእ","ማስታወሻዎች ኣጥፋ","Clear Logs"
"All_Documents","ጠቕላላ ሰነዳት","ጠቅላላ ሰነዶች","All Documents"
"Upload_New_Edition","ሓድሽ ሕታም ስቐል","ኣዲስ እትም ስቀል","Upload New Edition"
"Edit_Edition","ሕታም ኣስተኻኽል","እትም ኣስተካክል","Edit Edition"
"Background_Image","ናይ ድሕሪት ምስሊ","የዳራ ምስል","Background Image"
"Categories","ዓይነታት ሰነድ","የሰነድ ኣይነቶች","Categories"
"Basic_Info","መሰረታዊ ሓበሬታ","ዋና መረጃ","Basic Info"
"Visit_Site","ሳይት ይጎብንዩ","ሳይት ይጎብኙ","Visit Site"
"No_Result_Found","ዝተረኸበ ውፅኢት የለን","ምንም ወጤት ኣልተገኘም","No Result Found"
"Confirm_Password","መሕለፊ ቃል ደጊሞም የረጋግፁ","የይለፍ ቃልን በድጋሜ ያረጋግጡ","Confirm Password"
"Already_have_an_account","ዝጥቀምሉ ሒሳብ እንተሃሊዩዎም","የሚጠቀሙለት ሒሳብ ካለቦት","Already have an account"
"Login","ይእተዉ","ግባ","Login"
"Guest","ጋሻ","እንግዳ","Guest"
"Related_Documents","ተዛመድቲ ሰነዳት","ተመሳሳይ ሰነዶች","Related Documents ..."
"Author","ኣፍላቒ","ኣመንጪ","Author"
"You_can_share_to_multiple_users_at_once","ንብዙሓት ተጠቀምቲ ምክፋል ይኽእሉ አዮም","ለበርካታ ተጠቃሚዎች ማዳረስ ይችላሉ","You can share to multiple users at once"
"View_Count_Interval_in_Hours","ምርኣይ ዘይቑፀረሉ ግዘ(ብሰዓታት)","እይታ የማይቆጠርበት ግዜ(በሰኣታት)","View Count Interval in Hours"
"Full_Screen","ሙሉእ ስክሪን","ሙሉ ስክሪን","Full Screen"
"superadmin","ዋና ኣማሓዳሪ","ዋና ኣስተዳዳሪ","Super Admin"
"ICT Head","ሓላፊ ኣይሲቲ","የኣይሲቲ ሃላፊ","ICT Head"
"Library Head","ሓላፊ ቤተ-መዛግብቲ","የቤተ-መዛግብት ሓላፊ","Library Head"
"Data Entry","ክፍሊ መረዳእታ","የመረጃ ክፍል","Data Entry"
"Public","ጎብናዪ","ጎብኚ","Public"
"E-DMS","ማእኸል ሓወልቲ ሰማእታት ትግራይ( E-DMS)","የትግራይ ሰማእታት ሓወልት ማእከል (E-DMS)","Tigray Martyrs' Memorial Monument Center (E-DMS)"
"Old_Password","ኣረጊት መሕለፊ ቃል","ኣሮጌ ይይለፍ ቃል","Old Password"
"New_Password","ሓድሽ መሕለፊ ቃል","ኣዲስ የይለፍ ቃል","New Password"
"Confirm_New_Password","ሓድሽ መሕለፊ ቃል ድገም","ኣዲሱ የይለፍ ቃል ይድገሙት","Confirm New Password"
"Manage_Your_Account","ቁልፊ መንነት ኣመሓድር","የማንነት ቁልፍ ኣስተዳድር","Manage Your Account"
"Show_Password","መሕለፊ ቃል ኣርእይ","የይለፍ ቃል ኣሳይ","Show Password"
"News_Paper","ጋዜጣ","ጋዜጣ","News Paper"
"Magazine","መፅሄት","መጽሄት","Magazine"
"Book","መፅሓፍ","መፅሓፍ","Book"
"Sub_category","ንኡስ ምድብ","ንኡስ ምድብ","Sub category,"
"Summery","ፅሙቕ ትሕዝቶ","ዋና ይዘት","Content Summery"
"Username","መለለይ ተጠቃሚ","የተጠቃሚ መለያ","Username"
"Entertainment","መዘናግዒ","መዝናኛ","Entertainment"
"Economic","ቁጠባዊ","ኢኮኖሚያዊ","Economic"
"War","ኲናት","ኲናት","War"
"Sport","ስፖርት","ስፖርት","Sport"
"Related_by_author","ብኣፍላቒ ዝዛመድ","በኣመንጪ የሚዛመድ","Related by author"
"Related_by_publisher","ብኣሐታሚ ዝዛመድ","በኣሳታሚ የሚዛመድ","Related by publisher"
"Total_documents_report","ፀብፃብ ጠቅላላ ሰነዳት","ኣጠቃላይ የሰነድ ሪፖርት","Total documents report"
"Documents_Report","ፀብፃብ ሰነዳት","የሰነድ ሪፖርት","Documents_Report"
